SK머티리얼즈,036490,375000,375000,134800,134800,134800,134800,0,False,False,0.0,0,-,0,
SK바이오사이언스,302440,190000,190000,130000,130000,130000,130000,0,False,False,0.0,0,-,0,
SK바이오팜,326030,269500,181500,98000,98000,98000,98000,0,False,False,0.0,0,-,0,
SK아이이테크놀로지,361610,222500,222500,154000,154000,154000,154000,0,False,False,0.0,0,-,0,
SK이노베이션,096770,327500,327500,70900,70900,70900,70900,0,False,False,0.0,0,-,0,
SK증권,001510,1315,1220,850,732,667,602,0,False,False,0.0,0,-,20200615,
SK케미칼,285130,467000,467000,61200,61200,61200,61200,0,False,False,0.0,0,-,0,
SK텔레콤,017670,332500,332500,180000,180000,180000,180000,0,False,False,0.0,0,-,0,
SK하이닉스,000660,150500,150500,73000,73000,73000,73000,0,False,False,0.0,0,-,0,
SM Life Design,063440,5150,5150,2175,1875,1710,1545,0,False,False,0.0,0,-,20200703,
SNK,950180,35500,35500,13500,13500,13500,13500,0,False,False,0.0,0,-,0,
SNT모티브,064960,81600,81600,27350,27350,27350,27350,0,False,False,0.0,0,-,0,
SNT에너지,100840,21800,21800,12900,12900,12900,12900,0,False,False,0.0,0,-,0,
SNT중공업,003570,9430,9430,5000,5000,5000,5000,0,False,False,0.0,0,-,0,
SNT홀딩스,036530,20950,20950,11450,11450,11450,11450,0,False,False,0.0,0,-,0,
SPC삼립,005610,96000,96000,49800,49800,49800,49800,0,False,False,0.0,0,-,0,
STX엔진,077970,19350,19350,4440,4440,4440,4440,0,False,False,0.0,0,-,0,
SV인베스트먼트,289080,8570,7280,4820,4154,3788,3422,0,False,False,0.0,0,-,20200925,
TCC스틸,002710,6460,6460,1342,1342,1342,1342,0,False,False,0.0,0,-,0,
THE E&M,089230,1480,1455,489,489,489,489,0,False,False,0.0,0,-,0,
TPC,048770,5300,4770,1910,1910,1910,1910,0,False,False,0.0,0,-,0,
TS인베스트먼트,246690,6524,6524,4410,3802,3467,3132,0,False,False,0.0,0,-,20210402,
TS트릴리온,317240,1958,1958,1311,1311,1311,1311,0,False,False,0.0,0,-,0,
TYM,002900,1940,1940,842,842,842,842,0,False,False,0.0,0,-,0,
WI,073570,1935,1780,1170,1170,1170,1170,0,False,False,0.0,0,-,0,
WISCOM,024070,5990,5990,1900,1900,1900,1900,0,False,False,0.0,0,-,0,
YBM넷,057030,14800,11100,4350,4350,4350,4350,0,False,False,0.0,0,-,20200227,
YG PLUS,037270,9240,9240,885,885,885,885,0,False,False,0.0,0,-,20200702,
YTN,040300,5000,5000,1565,1565,1565,1565,0,False,False,0.0,0,-,0,
YW,051390,5100,5100,2920,2920,2920,2920,0,False,False,0.0,0,-,0,
iMBC,052220,7010,7010,1505,1505,1505,1505,0,False,False,0.0,0,-,0,
가비아,079940,19200,17150,14300,12320,11231,10142,0,False,False,0.0,0,-,20200416,
가온미디어,078890,15000,15000,4214,4214,4214,4214,0,False,False,0.0,0,-,0,
가온전선,000500,48800,48800,12700,12700,12700,12700,0,False,False,0.0,0,-,0,
강남제비스코,000860,32400,32400,13300,13300,13300,13300,0,False,False,0.0,0,-,0,
강스템바이오텍,217730,11650,9620,5700,5700,5700,5700,0,False,False,0.0,0,-,0,
강원랜드,035250,29550,29550,18500,18500,18500,18500,0,False,False,0.0,0,-,0,
갤럭시아머니트리,094480,8890,8890,8320,7168,6534,5900,0,False,False,0.0,0,-,20210331,
경남스틸,039240,4875,4875,1140,1140,1140,1140,0,False,False,0.0,0,-,0,
경농,002100,19800,17100,6770,6770,6770,6770,0,False,False,0.0,0,-,0,
경동나비엔,009450,67100,67100,28800,28800,28800,28800,0,False,False,0.0,0,-,0,
경동도시가스,267290,26600,26600,13300,13300,13300,13300,0,False,False,0.0,0,-,0,
경동인베스트,012320,50900,50900,22050,22050,22050,22050,0,False,False,0.0,0,-,0,
경동제약,011040,18300,12800,14100,12150,11078,10006,0,False,False,0.0,0,-,20200723,
경방,000050,15700,15700,8750,8750,8750,8750,0,False,False,0.0,0,-,0,
경보제약,214390,22600,22600,14950,12880,11742,10604,0,False,False,0.0,0,-,20201201,
경인양행,012610,10700,7860,4685,4685,4685,4685,0,False,False,0.0,0,-,0,
계룡건설,013580,37850,37850,11600,11600,11600,11600,0,False,False,0.0,0,-,20200724,
계양전기,012200,5650,5650,2000,2000,2000,2000,0,False,False,0.0,0,-,0,
고려산업,002140,5580,5380,4535,3908,3563,3218,0,False,False,0.0,0,-,20200529,
고려시멘트,198440,4395,4395,3415,2944,2685,2426,0,False,False,0.0,0,-,20200422,
고려신용정보,049720,8820,8820,4545,4545,4545,4545,0,False,False,0.0,0,-,0,
고려아연,010130,491000,491000,317000,317000,317000,317000,0,False,False,0.0,0,-,0,
고려제강,002240,31400,31400,11142,11142,11142,11142,0,False,False,0.0,0,-,0,
고려제약,014570,14650,12500,13700,11810,10770,9730,0,False,False,0.0,0,-,20200526,
고바이오랩,348150,68600,68600,38000,32750,29862,26974,0,False,False,0.0,0,-,20201120,
고영,098460,31060,31060,14680,14680,14680,14680,0,False,False,0.0,0,-,0,
골프존,215000,118100,118100,33000,33000,33000,33000,0,False,False,0.0,0,-,0,
골프존뉴딘홀딩스,121440,9690,9690,2410,2410,2410,2410,0,False,False,0.0,0,-,0,
광동제약,009290,13350,11600,4600,4600,4600,4600,0,False,False,0.0,0,-,0,
광명전기,017040,3250,3250,1445,1445,1445,1445,0,False,False,0.0,0,-,0,
광전자,017900,2970,2830,1320,1320,1320,1320,0,False,False,0.0,0,-,0,
광주신세계,037710,222000,222000,133000,133000,133000,133000,0,False,False,0.0,0,-,0,
광진실업,026910,7110,7110,2345,2345,2345,2345,0,False,False,0.0,0,-,0,
